code,date,high,low,mid,last,bid,ask,volume
ZRXUSD,2024-09-15,0.29748,0.28792,0.28889,0.28924,0.28869,0.28909,38797.72586092
ZRXUSD,2024-09-14,0.29902,0.29309,0.295295,0.2952,0.2951,0.29549,26135.91110544
ZRXUSD,2024-09-13,0.30349,0.28357,0.29886,0.29922,0.29865,0.29907,236649.194029
ZRXUSD,2024-09-12,0.28641,0.27704,0.28722,0.28641,0.28692,0.28752,19602.93625197
ZRXUSD,2024-09-11,0.28503,0.27392,0.27909,0.27866,0.27896,0.27922,28793.23486308
ZRXUSD,2024-09-10,0.2903,0.28199,0.284815,0.28557,0.2845,0.28513,18940.9119372
ZRXUSD,2024-09-09,0.28477,0.27176,0.28411,0.28398,0.28393,0.28429,13073.50429195
ZRXUSD,2024-09-08,0.27927,0.2674,0.27406,0.27475,0.27371,0.27441,14554.2372938
ZRXUSD,2024-09-07,0.27351,0.26295,0.26784,0.26814,0.26754,0.26814,168775.60104588
ZRXUSD,2024-09-06,0.27646,0.25662,0.26405,0.26429,0.26381,0.26429,24577.87812781
ZRXUSD,2024-09-05,0.28682,0.27144,0.27281,0.27267,0.27262,0.273,12392.34192871
ZRXUSD,2024-09-04,0.29,0.26549,0.28609,0.2861,0.28594,0.28624,20738.30248268
ZRXUSD,2024-09-03,0.29788,0.28101,0.2824,0.28256,0.28216,0.28264,3452.74323869
ZRXUSD,2024-09-02,0.29507,0.27582,0.293325,0.29329,0.29317,0.29348,28618.71972598
ZRXUSD,2024-09-01,0.2921,0.27774,0.27986,0.27774,0.27952,0.2802,26227.37797116
ZRXUSD,2024-08-31,0.29803,0.28943,0.291775,0.29162,0.29162,0.29193,8374.89403333
ZRXUSD,2024-08-30,0.30263,0.2803,0.295785,0.29504,0.29561,0.29596,136268.34530324
ZRXUSD,2024-08-29,0.3097,0.29639,0.29836,0.29832,0.29813,0.29859,24087.84641356
ZRXUSD,2024-08-28,0.31018,0.28919,0.29634,0.29639,0.29624,0.29644,238684.53459846
ZRXUSD,2024-08-27,0.3346,0.3,0.30376,0.30344,0.30352,0.304,23771.54258262
ZRXUSD,2024-08-26,0.34677,0.32117,0.32322,0.32237,0.32313,0.32331,46080.6515489
ZRXUSD,2024-08-25,0.35288,0.34257,0.345485,0.34578,0.34529,0.34568,52233.99944532
ZRXUSD,2024-08-24,0.36075,0.34225,0.34984,0.35041,0.34971,0.34997,78473.56296561
ZRXUSD,2024-08-23,0.34906,0.32823,0.346715,0.34698,0.34652,0.34691,177001.75837679
ZRXUSD,2024-08-22,0.33018,0.31819,0.328595,0.32922,0.32844,0.32875,127274.48974146
ZRXUSD,2024-08-21,0.32412,0.31079,0.32281,0.32264,0.32265,0.32297,137287.79788949
ZRXUSD,2024-08-20,0.31735,0.30662,0.313315,0.3128,0.31321,0.31342,63861.12717915
ZRXUSD,2024-08-19,0.30864,0.2983,0.307505,0.3075,0.3074,0.30761,75789.21035887
ZRXUSD,2024-08-18,0.31105,0.29853,0.30695,0.30753,0.3068,0.3071,92541.33227961
ZRXUSD,2024-08-17,0.30189,0.29632,0.299075,0.29925,0.2989,0.29925,19955.26966362
ZRXUSD,2024-08-16,0.3044,0.29076,0.2993,0.29919,0.2991,0.2995,9076.69249604
ZRXUSD,2024-08-15,0.31569,0.29506,0.30149,0.30121,0.30126,0.30172,48365.52577744
ZRXUSD,2024-08-14,0.31938,0.30663,0.311925,0.31252,0.31179,0.31206,41140.65135321
ZRXUSD,2024-08-13,0.31685,0.30196,0.314505,0.31463,0.3144,0.31461,55133.51547863
ZRXUSD,2024-08-12,0.31698,0.29231,0.304785,0.30431,0.30454,0.30503,29241.83622179
ZRXUSD,2024-08-11,0.32694,0.29233,0.29473,0.29474,0.29454,0.29492,32167.62577589
ZRXUSD,2024-08-10,0.3147,0.30153,0.31429,0.31401,0.31415,0.31443,38089.64368054
ZRXUSD,2024-08-09,0.31246,0.302,0.305915,0.30555,0.30582,0.30601,28949.31823823
ZRXUSD,2024-08-08,0.30552,0.27193,0.306015,0.30613,0.3059,0.30613,135821.95493381
ZRXUSD,2024-08-07,0.31041,0.27284,0.275835,0.27596,0.2756,0.27607,316700.5252832
ZRXUSD,2024-08-06,0.28453,0.26192,0.280375,0.28066,0.28015,0.2806,436709.02056544
ZRXUSD,2024-08-05,0.29371,0.22989,0.264435,0.26492,0.26422,0.26465,950163.00675133
ZRXUSD,2024-08-04,0.31283,0.28047,0.29412,0.29633,0.29392,0.29432,79747.96365286
ZRXUSD,2024-08-03,0.32507,0.30088,0.30593,0.30589,0.30574,0.30612,82785.02513486
ZRXUSD,2024-08-02,0.35235,0.3151,0.315395,0.31578,0.31536,0.31543,249196.61425148
ZRXUSD,2024-08-01,0.37009,0.33081,0.35069,0.35031,0.35057,0.35081,240183.68331408
ZRXUSD,2024-07-31,0.38971,0.36663,0.369815,0.37009,0.36967,0.36996,175700.13134057
ZRXUSD,2024-07-30,0.38366,0.36,0.368175,0.36729,0.36802,0.36833,75261.86127686
ZRXUSD,2024-07-29,0.39136,0.37013,0.381335,0.38121,0.38114,0.38153,11941.75890328
ZRXUSD,2024-07-25,0.36406,0.33238,0.352405,0.35193,0.35212,0.35269,144160.01609335
ZRXUSD,2024-07-21,0.39295,0.375,0.392535,0.3925,0.39231,0.39276,97858.77583827
ZRXUSD,2024-07-20,0.39374,0.3734,0.381645,0.38162,0.38149,0.3818,48499.42906741
ZRXUSD,2024-07-19,0.38603,0.34381,0.37495,0.37643,0.37475,0.37515,279576.98035709
ZRXUSD,2024-07-17,0.3681,0.35433,0.360225,0.3602,0.36016,0.36029,130379.78238974
ZRXUSD,2024-07-16,0.36585,0.34469,0.356735,0.35665,0.35671,0.35676,71563.1780803
ZRXUSD,2024-07-15,0.363,0.32948,0.36255,0.363,0.36245,0.36265,236996.68624702
ZRXUSD,2024-07-13,0.32798,0.3155,0.32433,0.3244,0.32413,0.32453,137595.34295533
ZRXUSD,2024-07-12,0.32119,0.30839,0.316605,0.31599,0.31655,0.31666,24110.87303905
ZRXUSD,2024-07-08,0.31311,0.27983,0.30162,0.30159,0.30157,0.30167,260252.38772657
ZRXUSD,2024-07-06,0.31621,0.29095,0.314255,0.31459,0.31418,0.31433,84774.14041876
ZRXUSD,2024-07-05,0.31482,0.26187,0.292075,0.29345,0.29193,0.29222,1183266.53079222
ZRXUSD,2024-07-04,0.34322,0.31129,0.314495,0.31475,0.31443,0.31456,276834.24496441
ZRXUSD,2024-07-03,0.36414,0.33714,0.343235,0.34225,0.3432,0.34327,181736.03946078
ZRXUSD,2024-07-02,0.36295,0.3527,0.36053,0.36054,0.36034,0.36072,33352.53642871
ZRXUSD,2024-06-29,0.36496,0.34645,0.34695,0.34645,0.34672,0.34718,34989.02437442
ZRXUSD,2024-06-27,0.37558,0.35502,0.37482,0.37454,0.37465,0.37499,54936.6266461
ZRXUSD,2024-06-23,0.36587,0.34474,0.34987,0.34962,0.34981,0.34993,198764.04721088
ZRXUSD,2024-06-21,0.3689,0.35346,0.36034,0.36024,0.36027,0.36041,509977.70395735
ZRXUSD,2024-06-20,0.37795,0.35268,0.36324,0.36345,0.36317,0.36331,571947.66345602
ZRXUSD,2024-06-19,0.35697,0.33171,0.355875,0.35615,0.35577,0.35598,608925.45719399
ZRXUSD,2024-06-16,0.41739,0.39916,0.41473,0.41476,0.41466,0.4148,100856.06123453
ZRXUSD,2024-06-14,0.43113,0.39551,0.40649,0.40642,0.40643,0.40655,409093.97241129
ZRXUSD,2024-06-11,0.45958,0.425,0.432985,0.43317,0.43288,0.43309,585998.24787962
ZRXUSD,2024-06-10,0.46639,0.45168,0.453535,0.4529,0.45344,0.45363,251735.40939484
ZRXUSD,2024-06-08,0.48285,0.44843,0.4516,0.45155,0.45151,0.45169,544076.55781385
ZRXUSD,2024-06-07,0.53592,0.43544,0.482695,0.48268,0.48254,0.48285,388462.497464
ZRXUSD,2024-06-02,0.5239,0.50374,0.50801,0.50839,0.50786,0.50816,50641.64990623
ZRXUSD,2024-06-01,0.52581,0.51553,0.52334,0.52378,0.52322,0.52346,46252.22676222
ZRXUSD,2024-05-31,0.5309,0.50746,0.52093,0.52147,0.52078,0.52108,174282.21056033
ZRXUSD,2024-05-30,0.53849,0.50998,0.51699,0.51739,0.51685,0.51713,85370.62216377
ZRXUSD,2024-05-29,0.5553,0.53152,0.533985,0.53423,0.53385,0.53412,67369.96128339
ZRXUSD,2024-05-27,0.5706,0.54357,0.561005,0.56083,0.56071,0.5613,38852.44410301
ZRXUSD,2024-05-26,0.5721,0.54674,0.5527,0.55285,0.5526,0.5528,71294.48741313
